Dex,Pokemon,Moves,Levels
1,bulbasaur,"swordsdance, cut, vinewhip, headbutt, tackle, bodyslam, takedown, doubleedge, growl, strength, megadrain, leechseed, growth, razorleaf, solarbeam, poisonpowder, sleeppowder, toxic, rage, mimic, doubleteam, defensecurl, lightscreen, reflect, bide, amnesia, flash, rest, substitute, snore, curse, protect, sludgebomb, mudslap, outrage, gigadrain, endure, charm, falseswipe, swagger, furycutter, attract, sleeptalk, return, frustration, safeguard, sweetscent, synthesis, hiddenpower, sunnyday, rocksmash, facade, naturepower, helpinghand, knockoff, secretpower, weatherball, bulletseed, magicalleaf, naturalgift, worryseed, seedbomb, energyball, leafstorm, powerwhip, captivate, grassknot, venoshock, acidspray, round, echoedvoice, grasspledge, workup, grassyterrain, confide, grassyglide, terablast, trailblaze","101, 101, 13, 101, 1, 101, 101, 101, 1, 101, 101, 7, 34, 27, 48, 20, 41, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 25, 39, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 31, 37, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
2,ivysaur,"swordsdance, cut, vinewhip, headbutt, tackle, bodyslam, takedown, doubleedge, growl, roar, strength, megadrain, leechseed, growth, razorleaf, solarbeam, poisonpowder, sleeppowder, toxic, rage, mimic, doubleteam, defensecurl, lightscreen, reflect, bide, amnesia, flash, rest, substitute, snore, curse, protect, sludgebomb, mudslap, outrage, gigadrain, endure, charm, falseswipe, swagger, furycutter, attract, sleeptalk, return, frustration, safeguard, sweetscent, synthesis, hiddenpower, sunnyday, rocksmash, facade, naturepower, helpinghand, knockoff, secretpower, weatherball, bulletseed, magicalleaf, naturalgift, worryseed, seedbomb, energyball, leafstorm, powerwhip, captivate, grassknot, venoshock, acidspray, round, echoedvoice, grasspledge, workup, grassyterrain, confide, grassyglide, terablast, trailblaze","101, 101, 13, 101, 1, 101, 101, 101, 1, 101, 101, 101, 1, 38, 30, 54, 22, 46, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 29, 47, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 36, 20, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
3,venusaur,"swordsdance, cut, vinewhip, headbutt, tackle, bodyslam, takedown, doubleedge, growl, roar, hyperbeam, strength, megadrain, leechseed, growth, razorleaf, solarbeam, poisonpowder, sleeppowder, petaldance, earthquake, toxic, rage, mimic, doubleteam, defensecurl, lightscreen, reflect, bide, amnesia, flash, rest, substitute, snore, curse, protect, scaryface, sludgebomb, mudslap, outrage, gigadrain, endure, charm, falseswipe, swagger, furycutter, attract, sleeptalk, return, frustration, safeguard, sweetscent, synthesis, hiddenpower, sunnyday, rocksmash, facade, naturepower, helpinghand, knockoff, secretpower, weatherball, bulletseed, frenzyplant, magicalleaf, naturalgift, worryseed, poisonjab, seedbomb, energyball, earthpower, gigaimpact, rockclimb, leafstorm, powerwhip, captivate, grassknot, venoshock, acidspray, round, echoedvoice, grasspledge, bulldoze, workup, petalblizzard, grassyterrain, confide, stompingtantrum, grassyglide, terablast, trailblaze","101, 101, 1, 101, 1, 101, 101, 101, 1, 101, 101, 101, 101, 1, 43, 30, 65, 22, 55, 32, 101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 29, 53, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 39, 101, 20, 101, 101, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 50, 101, 101, 101, 101, 101, 101"
4,charmander,"megapunch, firepunch, thunderpunch, scratch, swordsdance, cut, megakick, headbutt, bodyslam, takedown, doubleedge, leer, growl, roar, ember, flamethrower, submission, counter, seismictoss, strength, dragonrage, firespin, dig, toxic, rage, mimic, doubleteam, smokescreen, defensecurl, reflect, bide, fireblast, swift, skullbash, furyswipes, rest, rockslide, slash, substitute, snore, curse, protect, scaryface, mudslap, outrage, endure, falseswipe, swagger, furycutter, attract, sleeptalk, return, frustration, dynamicpunch, dragonbreath, irontail, metalclaw, hiddenpower, sunnyday, crunch, rocksmash, beatup, heatwave, willowisp, facade, focuspunch, helpinghand, brickbreak, secretpower, weatherball, overheat, rocktomb, aerialace, dragonclaw, dragondance, naturalgift, fling, flareblitz, dragonpulse, focusblast, shadowclaw, firefang, captivate, honeclaws, flameburst, flamecharge, round, echoedvoice, incinerate, acrobatics, inferno, firepledge, dragontail, workup, confide, poweruppunch, breakingswipe, terablast, temperflare","101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 15, 1, 101, 9, 38, 101, 101, 101, 101, 101, 46, 101, 101, 22, 101, 101, 13, 101, 101, 101, 101, 101, 101, 18, 101, 101, 30, 101, 101, 101, 101, 25, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 13, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 40, 101, 101, 101, 25, 101, 101, 28, 101, 101, 101, 101, 101, 46, 101, 101, 101, 101, 101, 101, 101, 101"
5,charmeleon,"megapunch, firepunch, thunderpunch, scratch, swordsdance, cut, megakick, headbutt, bodyslam, takedown, doubleedge, leer, growl, roar, ember, flamethrower, submission, counter, seismictoss, strength, dragonrage, firespin, dig, toxic, rage, mimic, doubleteam, smokescreen, defensecurl, reflect, bide, fireblast, swift, skullbash, furyswipes, rest, rockslide, slash, substitute, snore, curse, protect, scaryface, mudslap, outrage, endure, falseswipe, swagger, furycutter, attract, sleeptalk, return, frustration, dynamicpunch, dragonbreath, irontail, metalclaw, hiddenpower, sunnyday, crunch, rocksmash, beatup, heatwave, willowisp, facade, focuspunch, helpinghand, brickbreak, secretpower, weatherball, overheat, rocktomb, aerialace, dragonclaw, dragondance, naturalgift, fling, flareblitz, dragonpulse, focusblast, shadowclaw, firefang, captivate, honeclaws, flameburst, flamecharge, round, echoedvoice, incinerate, acrobatics, inferno, firepledge, dragontail, workup, confide, poweruppunch, breakingswipe, terablast, temperflare","101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 15, 1, 101, 1, 42, 101, 101, 101, 101, 101, 56, 101, 101, 24, 101, 101, 13, 101, 101, 101, 101, 101, 101, 20, 101, 101, 33, 101, 101, 101, 101, 27, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 13, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 54, 101, 101, 101, 28, 101, 101, 32, 101, 101, 101, 101, 101, 54, 101, 101, 101, 101, 101, 101, 101, 101"
6,charizard,"megapunch, firepunch, thunderpunch, scratch, swordsdance, cut, wingattack, fly, megakick, headbutt, bodyslam, takedown, doubleedge, leer, growl, roar, ember, flamethrower, hyperbeam, submission, counter, seismictoss, strength, solarbeam, dragonrage, firespin, earthquake, fissure, dig, toxic, rage, mimic, doubleteam, smokescreen, defensecurl, reflect, bide, fireblast, swift, skullbash, furyswipes, rest, rockslide, slash, substitute, snore, curse, protect, scaryface, mudslap, outrage, sandstorm, endure, falseswipe, swagger, furycutter, steelwing, attract, sleeptalk, return, frustration, dynamicpunch, dragonbreath, irontail, metalclaw, hiddenpower, sunnyday, crunch, rocksmash, beatup, heatwave, willowisp, facade, focuspunch, helpinghand, brickbreak, secretpower, blazekick, blastburn, weatherball, aircutter, overheat, rocktomb, aerialace, dragonclaw, dragondance, roost, naturalgift, fling, flareblitz, airslash, dragonpulse, focusblast, gigaimpact, shadowclaw, firefang, defog, captivate, honeclaws, flameburst, flamecharge, round, echoedvoice, skydrop, incinerate, acrobatics, inferno, firepledge, bulldoze, dragontail, workup, heatcrash, hurricane, confide, mysticalfire, poweruppunch, brutalswing, breakingswipe, scorchingsands, terablast, dragoncheer, temperflare","101, 101, 101, 1, 101, 101, 36, 101, 101, 101, 101, 101, 101, 1, 1, 101, 1, 46, 101, 101, 101, 101, 101, 101, 101, 55, 101, 101, 101, 101, 24, 101, 101, 1, 101, 101, 101, 101, 101, 101, 20, 101, 101, 36, 101, 101, 101, 101, 27, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 1, 101, 101, 1, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 66, 1, 101, 101, 101, 1, 28, 101, 101, 101, 32, 101, 101, 101, 101, 101, 101, 62, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101"
7,squirtle,"megapunch, icepunch, megakick, headbutt, tackle, bodyslam, takedown, doubleedge, tailwhip, bite, watergun, hydropump, surf, icebeam, blizzard, bubblebeam, submission, counter, seismictoss, strength, dig, toxic, rage, mimic, doubleteam, withdraw, defensecurl, haze, reflect, bide, waterfall, skullbash, bubble, rest, rockslide, substitute, snore, curse, protect, mudslap, icywind, outrage, endure, rollout, falseswipe, swagger, attract, sleeptalk, return, frustration, dynamicpunch, rapidspin, irontail, hiddenpower, raindance, rocksmash, whirlpool, hail, facade, focuspunch, followme, helpinghand, brickbreak, secretpower, dive, weatherball, rocktomb, muddywater, irondefense, mudshot, waterpulse, gyroball, brine, naturalgift, fling, aurasphere, aquatail, dragonpulse, zenheadbutt, captivate, round, scald, shellsmash, waterpledge, workup, confide, poweruppunch, liquidation, flipturn, wavecrash, terablast, icespinner, chillingwater","101, 101, 101, 101, 1, 101, 101, 101, 1, 22, 15, 42, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 28, 101, 101, 101, 101, 101, 35, 8, 101, 101, 101, 101, 101, 28, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 23, 101, 101, 33, 101, 101, 101, 101, 101, 0, 101, 101, 101, 101, 101, 101, 101, 34, 101, 101, 101, 101, 101, 101, 101, 28, 101, 101, 101, 101, 101, 27, 101, 101, 101, 101, 101, 101, 36, 101, 101, 101"
8,wartortle,"megapunch, icepunch, megakick, headbutt, tackle, bodyslam, takedown, doubleedge, tailwhip, bite, watergun, hydropump, surf, icebeam, blizzard, bubblebeam, submission, counter, seismictoss, strength, dig, toxic, rage, mimic, doubleteam, withdraw, defensecurl, haze, reflect, bide, waterfall, skullbash, bubble, rest, rockslide, substitute, snore, curse, protect, mudslap, icywind, outrage, endure, rollout, falseswipe, swagger, attract, sleeptalk, return, frustration, dynamicpunch, rapidspin, irontail, hiddenpower, raindance, rocksmash, whirlpool, hail, facade, focuspunch, helpinghand, brickbreak, secretpower, dive, weatherball, rocktomb, muddywater, irondefense, mudshot, waterpulse, gyroball, brine, naturalgift, fling, aurasphere, aquatail, dragonpulse, zenheadbutt, captivate, round, scald, shellsmash, waterpledge, workup, confide, poweruppunch, liquidation, flipturn, wavecrash, terablast, icespinner, chillingwater","101, 101, 101, 101, 1, 101, 101, 101, 1, 24, 15, 47, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 31, 101, 101, 101, 101, 101, 39, 1, 101, 101, 101, 101, 101, 31, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 25, 101, 101, 37, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 40, 101, 101, 101, 101, 101, 101, 101, 32, 101, 101, 101, 101, 101, 35, 101, 101, 101, 101, 101, 101, 50, 101, 101, 101"
9,blastoise,"megapunch, icepunch, megakick, headbutt, tackle, bodyslam, takedown, doubleedge, tailwhip, bite, roar, watergun, hydropump, surf, icebeam, blizzard, bubblebeam, hyperbeam, submission, counter, seismictoss, strength, earthquake, fissure, dig, toxic, rage, mimic, doubleteam, withdraw, defensecurl, haze, reflect, bide, waterfall, skullbash, bubble, rest, rockslide, substitute, snore, curse, protect, scaryface, mudslap, icywind, outrage, endure, rollout, falseswipe, swagger, attract, sleeptalk, return, frustration, dynamicpunch, rapidspin, irontail, hiddenpower, raindance, crunch, rocksmash, whirlpool, fakeout, hail, facade, focuspunch, helpinghand, brickbreak, secretpower, dive, hydrocannon, weatherball, rocktomb, muddywater, irondefense, mudshot, waterpulse, gyroball, brine, naturalgift, fling, aurasphere, darkpulse, aquatail, dragonpulse, focusblast, gigaimpact, avalanche, zenheadbutt, flashcannon, rockclimb, captivate, aquajet, smackdown, round, scald, shellsmash, waterpledge, bulldoze, dragontail, workup, confide, poweruppunch, liquidation, bodypress, flipturn, wavecrash, terablast, icespinner, chillingwater","101, 101, 101, 101, 1, 101, 101, 101, 1, 24, 101, 1, 52, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 31, 101, 101, 101, 101, 101, 42, 1, 101, 101, 101, 101, 101, 31, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 25, 101, 101, 42, 101, 101, 101, 1, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 101, 46, 101, 101, 101, 101, 101, 101, 101, 101, 32, 101, 101, 101, 101, 101, 1, 101, 101, 1, 101, 101, 101, 35, 101, 101, 101, 101, 101, 101, 101, 101, 101, 56, 101, 101, 101"
10,caterpie,"tackle, stringshot, bugbite, electroweb","1, 1, 15, 101"
